"BOROUGH","NEIGHBORHOOD","TYPE OF HOME","NUMBER OF SALES","LOWEST SALE PRICE","AVERAGE SALE PRICE","MEDIAN SALE PRICE","HIGHEST SALE PRICE","YEAR"
"4","LONG ISLAND CITY","02 TWO FAMILY DWELLINGS","16","$750,000","$1,705,999.25","$1,450,000","$3,500,000","2024"
"4","LONG ISLAND CITY","01 ONE FAMILY DWELLINGS","4","$620,000","$4,342,750","$1,375,500","$14,000,000","2024"
"4","LITTLE NECK","03 THREE FAMILY DWELLINGS","1","$1,500,000","$1,500,000","$1,500,000","$1,500,000","2024"
"4","LITTLE NECK","02 TWO FAMILY DWELLINGS","8","$800,000","$1,360,312.5","$1,450,000","$1,870,000","2024"
"4","LITTLE NECK","01 ONE FAMILY DWELLINGS","83","$267,833","$1,101,867.903614458","$998,000","$2,504,895","2024"
"4","LAURELTON","03 THREE FAMILY DWELLINGS","2","$710,000","$805,000","$805,000","$900,000","2024"
"4","LAURELTON","02 TWO FAMILY DWELLINGS","26","$340,000","$773,260.0384615385","$790,000","$1,275,000","2024"
"4","LAURELTON","01 ONE FAMILY DWELLINGS","162","$200,000","$637,307.3888888889","$650,000","$1,315,000","2024"
"4","KEW GARDENS","03 THREE FAMILY DWELLINGS","2","$1,200,000","$1,300,000","$1,300,000","$1,400,000","2024"
"4","KEW GARDENS","02 TWO FAMILY DWELLINGS","4","$400,000","$1,137,500","$1,300,000","$1,550,000","2024"
"4","KEW GARDENS","01 ONE FAMILY DWELLINGS","22","$208,000","$941,454.5454545454","$855,000","$1,700,000","2024"
"4","JAMAICA HILLS","03 THREE FAMILY DWELLINGS","3","$1,049,000","$1,259,666.666666667","$1,350,000","$1,380,000","2024"
"4","JAMAICA HILLS","02 TWO FAMILY DWELLINGS","13","$399,000","$924,543.3076923077","$957,155","$1,235,000","2024"
"4","JAMAICA HILLS","01 ONE FAMILY DWELLINGS","15","$650,000","$873,000","$875,000","$1,075,000","2024"
